"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006694_1130287_20260722","850128822_20260722_1116","22.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260723","850128822_20260723_1116","23.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260728","850128822_20260728_1116","28.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260729","850128822_20260729_1116","29.07.2026 0:00:00","850128822","3006694"
"3006694_1130287_20260730","850128822_20260730_1116","30.07.2026 0:00:00","850128822","3006694"
"3006695_1000553_20260705","850179225_20260705_3885","05.07.2026 0:00:00","850179225","3006695"
"3006695_1000553_20260706","850179225_20260706_3885","06.07.2026 0:00:00","850179225","3006695"
"3006695_1000553_20260713","850179225_20260713_3885","13.07.2026 0:00:00","850179225","3006695"
"3006695_1000553_20260719","850179225_20260719_3885","19.07.2026 0:00:00","850179225","3006695"
"3006695_1000553_20260720","850179225_20260720_3885","20.07.2026 0:00:00","850179225","3006695"
"3006695_1000553_20260726","850179225_20260726_3885","26.07.2026 0:00:00","850179225","3006695"
"3006695_1000553_20260727","850179225_20260727_3885","27.07.2026 0:00:00","850179225","3006695"
"3006697_1150340_20260702","850307835_20260702_1643","02.07.2026 0:00:00","850307835","3006697"
"3006697_1150340_20260709","850307835_20260709_1643","09.07.2026 0:00:00","850307835","3006697"
"3006697_1150340_20260716","850307835_20260716_1643","16.07.2026 0:00:00","850307835","3006697"
"3006697_1150340_20260723","850307835_20260723_1643","23.07.2026 0:00:00","850307835","3006697"
"3006697_1150340_20260730","850307835_20260730_1643","30.07.2026 0:00:00","850307835","3006697"
"3006697_1169714_20260707","850301848_20260707_1643","07.07.2026 0:00:00","850301848","3006697"
"3006697_1169714_20260714","850301848_20260714_1643","14.07.2026 0:00:00","850301848","3006697"
"3006697_1169714_20260721","850301848_20260721_1643","21.07.2026 0:00:00","850301848","3006697"
"3006697_1169714_20260728","850301848_20260728_1643","28.07.2026 0:00:00","850301848","3006697"
"3006697_1188747_20260709","850261190_20260709_1643","09.07.2026 0:00:00","850261190","3006697"
